Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Switzerland,194.11,127.42,74.22,79.51,148.69,6.53,30.88,35.49,-
Germany,184.42,114.22,78.80,71.96,92.83,4.80,33.12,45.14,-
Norway,183.43,94.21,80.93,79.04,166.65,7.10,18.50,19.22,-
United Arab Emirates,177.07,134.89,64.05,63.89,80.79,4.49,17.00,69.17,-
New Zealand,174.28,88.59,53.19,86.81,107.37,5.71,25.25,17.08,-
Sweden,171.72,99.33,63.76,86.76,109.02,9.01,23.00,32.50,-
Canada,164.99,110.72,60.18,71.99,101.70,4.85,40.44,41.59,-
Denmark,163.12,99.26,54.69,89.81,125.72,6.13,31.00,34.17,-
Australia,162.03,108.67,59.38,79.11,130.28,6.94,37.09,37.25,-
Austria,159.89,98.78,55.92,83.18,98.44,6.69,23.00,42.84,-
Netherlands,158.07,93.65,71.60,70.37,108.48,6.34,26.83,41.67,-
United States,140.62,118.75,35.07,65.52,85.55,2.82,36.36,61.27,-
Japan,130.52,83.62,94.25,96.11,136.69,16.88,46.50,52.50,-
Ireland,125.14,84.79,53.93,41.06,114.29,5.89,11.67,45.17,-
Slovenia,121.94,57.17,64.29,82.87,78.63,13.41,24.67,35.00,-
France,119.51,90.90,55.24,80.74,103.90,10.54,29.00,61.82,-
Israel,118.25,73.81,59.22,91.67,98.66,9.51,46.60,48.75,-
United Kingdom,110.09,89.77,53.96,76.04,109.44,7.38,44.17,64.43,-
Portugal,105.10,56.85,59.36,69.96,73.97,7.77,28.00,51.91,-
Spain,100.93,86.18,67.04,69.92,84.48,9.87,26.45,85.62,-
Belgium,100.68,84.58,59.38,82.22,114.29,6.30,21.50,88.33,-
Croatia,93.06,50.65,67.58,65.00,70.77,11.59,37.00,49.94,-
Czech Republic,88.14,58.43,63.41,65.00,65.19,10.99,28.67,65.99,-
Singapore,87.08,91.24,79.79,58.97,101.03,17.16,66.25,70.83,-
South Africa,83.59,99.97,21.88,59.54,76.89,2.99,34.50,88.96,-
Saudi Arabia,71.02,80.41,67.52,40.74,97.40,2.77,15.75,112.50,-
Turkey,66.70,52.76,73.62,69.97,68.12,5.65,54.22,89.23,-
Malaysia,65.31,72.13,29.12,69.06,56.00,4.77,32.40,91.25,-
Poland,60.63,58.88,61.30,55.79,52.96,12.32,36.27,83.75,-
Mexico,60.31,59.33,37.46,80.06,56.41,5.84,31.33,93.50,-
Italy,49.65,67.73,43.33,67.77,99.07,12.63,37.81,85.48,-
Hungary,48.74,38.08,69.53,59.95,63.40,10.60,24.67,90.25,-
India,44.01,62.05,54.36,59.42,34.28,9.80,48.33,102.91,-
Indonesia,37.22,20.09,76.13,94.12,51.49,39.78,36.67,43.84,-
Serbia,34.59,31.08,71.30,57.41,54.28,19.51,25.65,80.97,-
Argentina,32.58,40.48,51.62,76.74,68.05,11.83,45.40,90.00,-
Bulgaria,30.77,34.73,58.63,60.30,53.69,10.35,26.33,98.48,-
Bosnia And Herzegovina,28.04,42.86,59.69,57.41,53.37,10.85,17.00,112.42,-
Romania,25.52,33.16,70.41,48.41,50.95,15.65,32.47,91.92,-
Thailand,24.89,33.42,60.33,92.59,52.94,16.75,38.75,101.61,-
Colombia,23.38,28.95,52.79,88.89,61.70,14.41,44.00,91.46,-
Greece,23.28,44.99,47.97,51.76,97.85,11.05,38.22,87.77,-
Chile,21.04,51.02,43.65,59.26,70.20,9.37,41.62,103.75,-
Brazil,10.81,31.73,40.74,59.09,87.64,15.28,30.00,82.92,-
Pakistan,-3.05,26.24,41.29,60.42,36.45,20.18,13.00,101.33,-
Philippines,-3.77,28.37,46.91,76.11,44.85,8.66,54.89,116.65,-
Russia,-7.39,44.05,49.43,35.52,69.37,14.41,47.83,104.67,-
Ukraine,-14.61,27.22,44.61,40.28,51.68,16.68,33.00,100.24,-
Egypt,-22.17,27.17,55.69,65.74,50.77,11.81,59.00,125.71,-
Iran,-35.23,46.38,48.14,43.40,54.32,12.48,73.50,131.85,-
China,-49.55,33.50,55.53,36.15,51.63,29.90,29.67,122.80,-
