Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
Denmark,198.57,114.39,75.75,79.41,81.38,6.93,28.51,22.14,81.80
Switzerland,195.93,129.70,78.50,72.68,121.16,9.63,29.05,22.03,80.05
Finland,194.01,112.30,77.20,73.49,72.82,7.98,30.41,11.93,58.56
Australia,191.13,122.85,57.24,76.38,72.08,7.60,35.29,23.97,93.75
Austria,191.05,96.70,78.63,79.19,71.79,10.14,25.15,21.97,77.74
Netherlands,188.91,102.54,71.43,77.81,74.83,7.38,29.87,27.45,87.45
Iceland,187.79,91.80,76.72,66.44,101.86,6.58,19.74,15.24,68.81
Germany,187.05,116.20,65.49,74.32,67.62,9.02,29.91,28.01,82.51
New Zealand,185.58,101.09,60.45,73.62,72.62,8.34,31.19,22.74,95.46
Norway,181.86,103.61,64.68,74.14,100.99,8.40,27.12,19.86,71.16
Estonia,180.88,75.97,79.20,72.12,51.01,9.31,25.75,18.15,64.28
Japan,180.50,103.12,86.27,80.40,83.33,11.25,40.03,37.08,84.79
United States,179.20,122.03,52.87,69.41,69.91,3.58,32.87,33.95,77.51
Sweden,178.67,111.38,50.65,70.95,71.55,10.26,30.29,18.01,74.92
Slovenia,175.98,75.38,77.43,62.81,52.51,10.16,24.81,24.33,78.08
Spain,174.16,83.80,67.54,77.77,54.70,9.21,29.42,39.36,94.19
United Kingdom,170.81,105.73,57.28,74.71,65.28,9.16,34.62,39.43,87.82
Canada,170.32,109.44,60.49,70.99,65.01,7.66,33.77,27.85,52.55
Qatar,167.84,138.29,86.74,72.41,59.09,5.74,31.71,66.48,36.03
United Arab Emirates,167.81,119.60,83.68,67.99,56.16,4.40,37.46,53.11,45.23
Croatia,165.31,60.33,75.31,64.14,49.18,11.63,29.11,31.03,88.95
Portugal,163.50,55.19,67.87,70.72,50.39,12.71,29.02,31.58,97.55
Belgium,162.09,95.09,57.54,79.44,72.97,7.18,34.86,49.89,86.03
Ireland,160.82,95.09,55.48,48.58,75.35,7.90,35.85,31.12,89.13
Czech Republic,158.79,71.32,73.34,74.71,45.12,15.17,30.02,40.96,77.13
France,157.83,91.55,53.61,78.55,74.85,12.85,35.27,42.70,88.25
Cyprus,157.57,75.29,70.69,50.17,55.57,7.17,20.27,53.75,92.23
Singapore,156.91,103.77,78.53,70.30,69.79,21.56,42.15,32.29,57.45
Lithuania,156.36,60.34,63.49,67.58,45.91,11.11,27.15,30.84,69.86
Israel,153.82,92.48,67.84,73.44,74.28,13.98,36.32,57.25,93.80
Slovakia,153.10,63.24,70.46,60.06,44.98,10.27,29.58,41.89,78.13
Saudi Arabia,152.72,118.59,70.27,59.07,47.61,2.89,29.61,67.26,41.42
South Korea,149.53,103.40,65.95,84.51,76.93,17.58,40.02,54.19,68.39
Latvia,149.15,55.16,63.23,59.71,49.23,9.35,31.45,34.96,74.70
Poland,147.98,70.00,69.91,62.15,39.13,10.27,32.15,52.38,76.02
Italy,145.69,77.49,54.98,67.14,69.25,9.97,34.69,53.75,91.25
Belarus,141.47,44.64,76.47,58.01,33.12,14.27,28.78,40.97,64.37
Romania,140.31,61.16,72.16,54.49,36.45,10.15,34.36,55.39,77.62
Greece,137.82,49.57,61.43,55.16,56.66,9.84,32.20,51.86,94.18
South Africa,135.31,82.97,23.20,62.56,42.49,4.11,40.33,56.95,95.97
Hungary,134.47,54.66,64.83,48.24,42.03,12.58,35.17,46.47,78.74
Taiwan,133.82,56.36,82.62,86.22,59.84,28.91,30.90,63.47,84.38
Bulgaria,130.59,52.18,60.00,54.04,37.17,8.72,28.79,63.98,82.76
Turkey,125.51,45.33,59.62,69.36,35.21,9.26,44.77,69.15,93.26
Bosnia And Herzegovina,124.51,49.18,56.21,53.20,35.72,12.28,26.43,63.47,80.48
Chile,124.14,54.13,53.19,65.50,47.73,13.51,36.79,65.54,90.21
Mexico,123.48,49.98,47.70,69.72,32.71,10.19,39.08,66.02,86.29
Argentina,122.49,55.00,37.45,69.39,33.09,19.02,43.04,52.35,98.28
Malaysia,122.11,73.14,39.21,67.61,39.38,9.77,35.25,63.74,60.10
Georgia,120.90,33.19,80.14,51.29,28.78,12.67,34.34,72.46,84.20
Serbia,119.83,39.90,62.73,52.56,35.39,18.62,29.74,58.86,83.23
India,117.51,66.91,57.28,68.32,24.17,11.33,45.71,75.81,65.74
Panama,113.12,41.34,53.57,61.41,51.45,12.67,36.48,62.00,67.84
Jordan,112.94,41.73,56.18,66.12,54.98,7.67,42.43,80.39,89.05
Lebanon,111.21,53.97,55.73,65.90,58.06,13.44,37.36,87.39,94.74
North Macedonia,110.64,39.83,60.71,58.98,31.58,13.65,27.94,80.85,76.30
Colombia,108.36,34.66,48.74,67.51,30.15,18.85,45.06,61.74,86.04
Indonesia,107.20,32.95,53.99,61.98,36.24,13.81,42.93,62.78,68.96
Russia,104.94,45.38,58.07,57.63,35.52,12.39,46.00,62.80,46.53
Pakistan,104.63,38.61,53.27,60.58,20.40,14.06,38.63,75.89,72.99
Thailand,103.26,40.86,53.34,79.06,47.54,21.94,39.40,72.21,69.45
Ukraine,102.34,32.72,51.12,50.95,27.94,14.35,37.36,66.63,70.69
Hong Kong,100.90,69.34,80.68,67.35,78.14,49.42,41.00,66.39,83.64
Brazil,100.33,37.43,29.76,54.64,42.80,18.72,43.37,57.72,95.35
China,97.92,68.95,54.54,64.03,39.24,29.09,42.46,81.91,78.91
